county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
8e7613e,9d1e27d,52842,5403,26.84,,27.96,0.924233644,0.025048959,0.034351145,0.001978338,0.002308061,0,0.012079853,0,11.469,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.436,0.075,0.218,0.057,0.284,0.257,0.114,0.08,0.048,0.332,13.19402756,3.31,19.83,293,4880,2710,0.512,0.215,0.177,0.174650699,0.395209581,0.274451098,0.155688623,9.82829062,10.62826776,649
694a5e8,a952566,212287,53502,57.534,6032,33.072,0.398317655,0.484634911,0.063759892,0.001393659,0.021800806,0.000199094,0.028500324,0.001393659,19.17,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.524,0.062,0.225,0.058,0.282,0.187,0.097,0.12,0.164,0.252,12.41943255,26.93,10.83,308,850,1009,0.522,0.192,0.113,0.168326693,0.230079681,0.241035857,0.360557769,13.28554627,8.818292961,905
b3f0726,20d32fc,81263,13368,39.994,1012,32.044,0.483789078,0.381916127,0.099034541,0.002508595,0.009254817,0.000799552,0.018709523,0.003987767,17.408,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.464,0.094,0.25,0.081,0.349,0.121,0.137,0.099,,0.308,11.87744637,10.26,23.25,269,2980,2459,0.526,0.24,0.153,0.201816347,0.329969728,0.287588295,0.180625631,11.57183002,10.13608865,729
fd922f0,1b0d913,122870,19359,41.865,,30.724,0.468042815,0.088392848,0.368846838,0.003210129,0.04638289,0.002206343,0.021934227,0.00098391,18.56,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.468,0.04,0.368,0.148,0.339,0.226,0.1,0.099,0.15,0.32,9.826326585,8.25,21.27,340,2259,1240,0.491,0.282,0.111,0.239562624,0.277335984,0.333996024,0.149105368,17.19185985,10.08927329,747
3bd551e,698ab34,146153,15766,30.681,644,30.86,0.65151076,0.251316855,0.047686634,0.005197453,0.016951694,0.000899559,0.025737389,0.000699657,10.46,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.47,0.058,0.211,0.084,0.29,0.191,0.104,0.09,0.153,0.246,12.53004479,5.3,16.52,263,1919,2509,0.516,0.259,0.108,0.1001001,0.289289289,0.36036036,0.25025025,12.4638796,6.432750528,858
2934b1a,e2f94fa,12511,1581,28.941,5,26.817,0.950060217,0.00985548,0.024899639,0.003894018,0.003291851,0,0.007998796,0,9.74,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.541,0.047,0.14,0.04,0.333,0.149,0.107,0.07,,0.268,9.338020613,,18.7,323,3230,1250,0.517,0.234,0.182,0.073,0.403,0.378,0.146,11.73346018,14.11186427,550
ddef106,fb8cab1,1334,134,18.622,,43.17,0.982141614,0,0.00297474,0.004457135,0,0,0.010426512,0,10.474,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.547,0.05,0.197,0.126,0.3,0.15,0.118,,,0.306,9.645966064,,,166,,,0.494,0.146,0.304,0.139303483,0.367164179,0.341293532,0.152238806,5.30906333,8.342813804,582
c5cb82c,6d287d7,71635,6210,23.387,15,17.856,0.193537732,0.005985806,0.062670791,0.715984505,0.004314185,0.000910884,0.016095613,0.000500485,29.834,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.295,0.154,0.26,0.142,0.318,0.185,0.148,0.07,0.133,0.235,9.768043973,13.11,58.42,210,1639,2490,0.504,0.307,0.122,0.232698094,0.334002006,0.324974925,0.108324975,13.57814724,8.316268092,566
016b15c,3745933,823964,117295,38.823,1841,31.199,0.68877362,0.064848843,0.099816749,0.009653225,0.059371339,0.013538548,0.06260577,0.001391907,8.887,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.463,0.07,0.193,0.062,0.316,0.177,0.102,0.06,0.159,0.215,10.66632286,4.09,8.18,248,1419,1470,0.509,0.245,0.117,0.090727817,0.289132602,0.371884347,0.248255234,13.95182122,7.314335066,1010
c8bd2f4,9d1e27d,11549,1170,21.711,26,31.584,0.96023253,0.007181076,0.017661021,0,0.000301726,0,0.013808987,0.00081466,21.357,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.39,0.087,0.229,0.067,0.308,0.276,0.122,0.071,,0.365,14.03040596,,16.45,386,5799,11370,0.501,0.193,0.195,0.254527163,0.474849095,0.189134809,0.081488934,7.209554832,12.59500543,484
