population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
52842,5403,26.84,,27.96,0.924233644,0.025048959,0.034351145,0.001978338,0.002308061,0,0.012079853,0,11.469,0.436,0.075,0.218,0.057,0.284,0.257,0.114,0.048,0.332,13.19402756,3.31,19.83,293,0.512,0.215,0.177,0.174650699,0.395209581,0.274451098,0.155688623,9.82829062,10.62826776,649
212287,53502,57.534,6032,33.072,0.398317655,0.484634911,0.063759892,0.001393659,0.021800806,0.000199094,0.028500324,0.001393659,19.17,0.524,0.062,0.225,0.058,0.282,0.187,0.097,0.164,0.252,12.41943255,26.93,10.83,308,0.522,0.192,0.113,0.168326693,0.230079681,0.241035857,0.360557769,13.28554627,8.818292961,905
81263,13368,39.994,1012,32.044,0.483789078,0.381916127,0.099034541,0.002508595,0.009254817,0.000799552,0.018709523,0.003987767,17.408,0.464,0.094,0.25,0.081,0.349,0.121,0.137,,0.308,11.87744637,10.26,23.25,269,0.526,0.24,0.153,0.201816347,0.329969728,0.287588295,0.180625631,11.57183002,10.13608865,729
122870,19359,41.865,,30.724,0.468042815,0.088392848,0.368846838,0.003210129,0.04638289,0.002206343,0.021934227,0.00098391,18.56,0.468,0.04,0.368,0.148,0.339,0.226,0.1,0.15,0.32,9.826326585,8.25,21.27,340,0.491,0.282,0.111,0.239562624,0.277335984,0.333996024,0.149105368,17.19185985,10.08927329,747
146153,15766,30.681,644,30.86,0.65151076,0.251316855,0.047686634,0.005197453,0.016951694,0.000899559,0.025737389,0.000699657,10.46,0.47,0.058,0.211,0.084,0.29,0.191,0.104,0.153,0.246,12.53004479,5.3,16.52,263,0.516,0.259,0.108,0.1001001,0.289289289,0.36036036,0.25025025,12.4638796,6.432750528,858
12511,1581,28.941,5,26.817,0.950060217,0.00985548,0.024899639,0.003894018,0.003291851,0,0.007998796,0,9.74,0.541,0.047,0.14,0.04,0.333,0.149,0.107,,0.268,9.338020613,,18.7,323,0.517,0.234,0.182,0.073,0.403,0.378,0.146,11.73346018,14.11186427,550
1334,134,18.622,,43.17,0.982141614,0,0.00297474,0.004457135,0,0,0.010426512,0,10.474,0.547,0.05,0.197,0.126,0.3,0.15,0.118,,0.306,9.645966064,,,166,0.494,0.146,0.304,0.139303483,0.367164179,0.341293532,0.152238806,5.30906333,8.342813804,582
71635,6210,23.387,15,17.856,0.193537732,0.005985806,0.062670791,0.715984505,0.004314185,0.000910884,0.016095613,0.000500485,29.834,0.295,0.154,0.26,0.142,0.318,0.185,0.148,0.133,0.235,9.768043973,13.11,58.42,210,0.504,0.307,0.122,0.232698094,0.334002006,0.324974925,0.108324975,13.57814724,8.316268092,566
823964,117295,38.823,1841,31.199,0.68877362,0.064848843,0.099816749,0.009653225,0.059371339,0.013538548,0.06260577,0.001391907,8.887,0.463,0.07,0.193,0.062,0.316,0.177,0.102,0.159,0.215,10.66632286,4.09,8.18,248,0.509,0.245,0.117,0.090727817,0.289132602,0.371884347,0.248255234,13.95182122,7.314335066,1010
11549,1170,21.711,26,31.584,0.96023253,0.007181076,0.017661021,0,0.000301726,0,0.013808987,0.00081466,21.357,0.39,0.087,0.229,0.067,0.308,0.276,0.122,,0.365,14.03040596,,16.45,386,0.501,0.193,0.195,0.254527163,0.474849095,0.189134809,0.081488934,7.209554832,12.59500543,484
29002,3571,30.476,,26.524,0.662232718,0.002481019,0.039895578,0.233454893,0.003587015,0.000298918,0.05804986,0,15.886,0.431,0.056,0.335,0.171,0.273,0.228,0.09,0.188,0.24,11.26032086,5.05,35.85,220,0.509,0.248,0.183,0.093,0.313,0.352,0.242,12.00747894,9.811825651,687
27855,2522,23.569,140,28.168,0.62738451,0.32648988,0.028042445,0.001414158,0.004523298,0,0.010440696,0.001705013,11.669,0.48,0.065,0.182,0.075,0.327,0.279,0.126,0.179,0.272,12.29545044,5.81,19.62,284,0.51,0.209,0.154,0.181818182,0.398601399,0.266733267,0.152847153,9.723725535,9.262380893,884
812,96,36.232,0,18.535,0.891586493,0,0.068693388,0,0.013642167,0,0.026077952,0,15.174,0.504,0.04,0.266,0.185,0.249,,0.088,,0.299,10.77084241,,,195,0.499,0.176,0.249,0.103103103,0.348348348,0.359359359,0.189189189,11.48600144,20.10050251,424
4196,385,18.924,,21.502,0.8320803,0.000995788,0.027344333,0.098304173,0.013224062,0.000995788,0.027055555,0,10.232,0.987,0.013,0.164,0.11,0.301,0.127,0.098,0.221,0.34,9.948254416,,45.37,259,0.466,0.203,0.155,0.090818363,0.341317365,0.372255489,0.195608782,14.33102314,5.168565723,665
20395,2345,40.663,,32.76,0.57123101,0.41018396,0.011690263,0.000905374,0.001482425,0.001094408,0.003412562,0,25.569,0.384,0.085,0.298,0.063,0.352,0.227,0.124,0.099,0.32,10.24949313,13.34,28.5,353,0.498,0.244,0.151,0.236055777,0.411354582,0.236055777,0.116533865,12.33389619,13.21488878,587
21993,1882,18.323,18,23.409,0.976155728,0.005354645,0.009129065,0.002123741,0.00332149,0,0.003915332,0,7.662,0.463,0.067,0.171,0.044,0.299,,0.096,,0.308,13.04567592,,26.15,262,0.505,0.221,0.199,0.083665339,0.456175299,0.311752988,0.148406375,11.83218173,10.25154676,563
